diacritic_word	diacritic_pos	diacritic_freq	no_diacritic_word	no_diacritic_pos	no_diacritic_freq	total_freq
donís	4	1	donis	2	224	225
dragó	4	74	drago	2	4	78
duró	4	0	duro	2	51	51
dària	4	3	daria	4	22	25
dèlia	4	3	delia	2	37	40
déu	4	7362	deu	4	15766	23128
elià	4	6	elia	4	41	47
eloí	4	0	eloi	4	13	13
elí	4	2	eli	4	134	136
eriçó	4	54	eriço	2	0	54
ermità	4	64	ermita	4	210	274
escaró	4	1	escaro	2	0	1
escolà	4	17	escola	4	10498	10515
escós	4	1	escos	4	0	1
espadà	4	6	espada	2	9	15
espanyó	4	0	espanyo	2	1	1
espigó	4	14	espigo	2	0	14
espirà	4	0	espira	4	21	21
espígol	4	17	espigol	2	0	17
espòrades	4	4	esporades	4	0	4
esquerrà	4	121	esquerra	4	8807	8928
esquèrda	4	0	esquerda	4	151	151
esquís	4	70	esquis	2	0	70
estaís	4	0	estais	4	1	1
estellés	4	3	estelles	4	25	28
fadó	4	0	fado	2	9	9
falcó	4	168	falco	2	23	191
favà	4	0	fava	4	265	265
fermí	4	1	fermi	2	130	131
ferrà	4	1	ferra	2	1	2
ferrís	4	0	ferris	2	99	99
ferró	4	0	ferro	4	2539	2539
filó	4	62	filo	2	12	74
fintà	4	0	finta	4	24	24
fitó	4	2	fito	2	9	11
florià	4	3	floria	2	11	14
fluixà	4	1	fluixa	0	78	79
fondó	4	4	fondo	4	44	48
forès	4	2	fores	2	20	22
fotí	4	1	foti	2	31	32
francí	4	1	franci	4	20	21
franquès	4	1	franques	0	64	65
fullà	4	0	fulla	4	824	824
fòssa	4	0	fossa	4	305	305
gabí	4	0	gabi	2	4	4
gaietà	4	13	gaieta	4	0	13
gaià	4	9	gaia	4	49	58
gal·lès	4	426	gal·les	4	1721	2147
gargallà	4	1	gargalla	4	0	1
gaspé	4	7	gaspe	2	1	8
gastí	4	0	gasti	2	135	135
gastó	4	26	gasto	2	11	37
gasà	4	0	gasa	4	17	17
gaudí	4	147	gaudi	4	290	437
gavarró	4	2	gavarro	4	0	2
generés	4	15	generes	2	8	23
generó	4	0	genero	2	2	2
genís	4	7	genis	4	56	63
germània	4	50	germania	4	37	87
gestí	4	0	gesti	2	1	1
girés	4	26	gires	4	361	387
giró	4	5	giro	4	101	106
glòria	4	446	gloria	2	173	619
glòries	4	40	glories	2	0	40
godés	4	0	godes	4	4	4
gracià	4	24	gracia	2	18	42
grogués	4	0	grogues	0	214	214
gràcia	4	726	gracia	2	18	744
gràcies	4	33338	gracies	2	101	33439
grífols	4	0	grifols	4	2	2
guardí	4	0	guardi	2	91	91
guifré	4	24	guifre	4	0	24
guillé	4	0	guille	2	2	2
guixà	4	0	guixa	4	8	8
gurí	4	1	guri	4	5	6
gustà	4	1	gusta	2	2	3
guàlter	4	0	gualter	4	3	3
gàtova	4	3	gatova	4	0	3
gèrs	4	1	gers	4	3	4
gòrgona	4	1	gorgona	4	8	9
gòrgones	4	3	gorgones	4	1	4
helí	4	0	heli	4	378	378
herbés	4	0	herbes	4	416	416
herédia	4	0	heredia	4	28	28
humilià	4	2	humilia	2	24	26
huíla	4	8	huila	4	12	20
jalón	4	4	jalon	2	1	5
jofré	4	15	jofre	4	17	32
juià	4	2	juia	4	0	2
justí	4	24	justi	2	0	24
justó	4	0	justo	2	26	26
jóc	4	7	joc	4	12212	12219
khàrkiv	4	88	kharkiv	4	16	104
lladró	4	4	lladro	2	0	4
llançà	4	212	llança	4	1013	1225
llaurí	4	3	llauri	2	126	129
llauró	4	2	llauro	2	1	3
lleixà	4	0	lleixa	4	18	18
lletjós	4	0	lletjos	0	23	23
llinyà	4	0	llinya	4	2	2
lliterà	4	0	llitera	4	54	54
lliçà	4	7	lliça	4	26	33
llucí	4	0	lluci	4	9	9
lluçà	4	4	lluça	4	1	5
lídia	4	88	lidia	2	19	107
lídies	4	1	lidies	2	0	1
maià	4	4	maia	4	273	277
maldà	4	5	malda	2	9	14
mallén	4	0	mallen	2	1	1
maltés	4	4	maltes	4	1	5
mamés	4	8	mames	4	28	36
manassès	4	9	manasses	2	5	14
manassés	4	0	manasses	2	5	5
manyà	4	2	manya	4	19	21
marcià	4	72	marcia	2	43	115
marcó	4	2	marco	2	622	624
marià	4	36	maria	4	3250	3286
marquès	4	445	marques	4	2402	2847
marqués	4	43	marques	4	2402	2445
marró	4	1088	marro	2	12	1100
marès	4	20	mares	4	1063	1083
mascaró	4	12	mascaro	2	1	13
masdéu	4	3	masdeu	4	0	3
mató	4	4	mato	2	109	113
maurí	4	0	mauri	2	26	26
maó	4	366	mao	4	309	675
merlès	4	6	merles	4	12	18
merlí	4	56	merli	4	20	76
mesopotàmia	4	281	mesopotamia	4	9	290
micó	4	19	mico	4	261	280
millà	4	0	milla	4	296	296
milà	4	1059	mila	4	25	1084
miró	4	181	miro	2	274	455
mitjà	4	14161	mitja	0	1864	16025
moianès	4	3	moianes	4	0	3
mollà	4	2	molla	4	97	99
molès	4	0	moles	4	25	25
molí	4	444	moli	2	5	449
mont-ròs	4	0	mont-ros	4	1	1
montalbà	4	1	montalba	4	1	2
monòver	4	3	monover	0	0	3
morellà	4	0	morella	4	21	21
moró	4	4	moro	2	1042	1046
mundó	4	0	mundo	4	78	78
muntanyà	4	0	muntanya	4	3654	3654
muntó	4	12	munto	2	4	16
mànega	4	178	manega	2	9	187
màrcia	4	11	marcia	2	43	54
mèdia	4	153	media	2	698	851
míriam	4	25	miriam	4	85	110
móra	4	26	mora	4	146	172
múnia	4	1	munia	2	2	3
múnter	4	0	munter	4	1	1
natjà	4	0	natja	4	7	7
neró	4	126	nero	4	45	171
nevà	4	2	neva	4	58	60
nicòstrat	4	1	nicostrat	4	0	1
nogués	4	8	nogues	4	0	8
norís	4	2	noris	4	0	2
nàquera	4	2	naquera	4	0	2
nét	4	567	net	0	1664	2231
obís	4	0	obis	4	1	1
odí	4	21	odi	4	1203	1224
olivó	4	0	olivo	2	4	4
olià	4	3	olia	2	2	5
olió	4	0	olio	2	1	1
oncés	4	0	onces	4	1	1
ondí	4	0	ondi	2	1	1
orbí	4	0	orbi	2	10	10
orellà	4	0	orella	4	651	651
orà	4	28	ora	4	71	99
orís	4	3	oris	2	4	7
oró	4	3	oro	2	67	70
orós	4	0	oros	4	10	10
pacífic	4	2632	pacific	2	283	2915
pagà	4	165	paga	4	1501	1666
paisà	4	34	paisa	4	2	36
pallarès	4	5	pallares	2	0	5
pallejà	4	4	palleja	2	0	4
pallí	4	1	palli	2	3	4
pal·ladí	4	0	pal·ladi	4	44	44
parlavà	4	2	parlava	2	1205	1207
parés	4	78	pares	2	5577	5655
parís	4	5866	paris	4	582	6448
pascó	4	0	pasco	4	14	14
pedró	4	3	pedro	4	851	854
peixó	4	0	peixo	2	1	1
pelló	4	0	pello	2	6	6
penedès	4	53	penedes	4	0	53
pequín	4	1220	pequin	2	7	1227
perpètua	4	316	perpetua	2	61	377
perpètues	4	23	perpetues	2	1	24
petrús	4	0	petrus	4	86	86
petén	4	22	peten	2	2	24
picassó	4	0	picasso	4	251	251
picó	4	2	pico	2	63	65
pinós	4	12	pinos	4	8	20
pisà	4	5	pisa	4	209	214
pià	4	1	pia	4	59	60
planès	4	0	planes	4	861	861
polpís	4	2	polpis	2	0	2
pontí	4	0	ponti	2	10	10
ponçà	4	0	ponça	4	5	5
portè	4	1	porte	2	50	51
premià	4	19	premia	2	71	90
privàs	4	1	privas	4	2	3
progrés	4	7074	progres	0	7	7081
pròsper	4	396	prosper	2	31	427
pròspera	4	501	prospera	2	82	583
pugès	4	0	puges	4	11	11
pujò	4	0	pujo	2	18	18
pujó	4	0	pujo	2	18	18
pullès	4	0	pulles	4	3	3
pàrtia	4	52	partia	2	65	117
pàtrocle	4	23	patrocle	4	7	30
pécs	4	15	pecs	0	0	15
píram	4	4	piram	2	0	4
pòlit	4	0	polit	4	80	80
queró	4	0	quero	2	6	6
quintà	4	0	quinta	0	109	109
quintí	4	15	quinti	2	7	22
rabadà	4	0	rabada	4	8	8
rabós	4	3	rabos	4	0	3
rafí	4	1	rafi	4	26	27
ralló	4	0	rallo	2	2	2
redovà	4	2	redova	4	0	2
regí	4	7	regi	0	45	52
remolí	4	115	remoli	2	0	115
rifà	4	1	rifa	4	6	7
rifé	4	3	rife	2	3	6
rià	4	0	ria	4	71	71
rodès	4	2	rodes	4	1192	1194
rodés	4	11	rodes	4	1192	1203
rodó	4	189	rodo	2	9	198
romanyà	4	1	romanya	4	16	17
romà	4	2464	roma	4	5769	8233
romània	4	0	romania	4	5435	5435
rotllà	4	1	rotlla	2	0	1
rovelló	4	9	rovello	2	0	9
rubió	4	24	rubio	4	29	53
rufà	4	0	rufa	4	4	4
rupià	4	2	rupia	4	65	67
rués	4	0	rues	4	7	7
règul	4	21	regul	2	0	21
règula	4	0	regula	2	710	710
rúbies	4	0	rubies	4	5	5
sabà	4	12	saba	4	168	180
sagristà	4	13	sagrista	4	0	13
salamí	4	0	salami	4	26	26
salarí	4	0	salari	4	1337	1337
saldó	4	0	saldo	2	429	429
salvà	4	40	salva	0	259	299
salví	4	0	salvi	4	107	107
salvó	4	0	salvo	2	20	20
salé	4	10	sale	4	40	50
salí	4	24	sali	2	131	155
samsó	4	39	samso	4	0	39
samària	4	6	samaria	4	61	67
sansà	4	0	sansa	4	197	197
santamaría	4	8	santamaria	4	5	13
sapés	4	0	sapes	4	1	1
saturní	4	11	saturni	0	2	13
saurí	4	6	sauri	0	7	13
savellà	4	0	savella	4	1	1
sebastòpol	4	59	sebastopol	4	23	82
secundí	4	2	secundi	2	318	320
sedó	4	1	sedo	2	1	2
seguí	4	294	segui	2	81	375
segòvia	4	42	segovia	2	16	58
sentís	4	73	sentis	2	60	133
senès	4	2	senes	4	12	14
serralló	4	0	serrallo	4	1	1
serrà	4	2	serra	4	572	574
servià	4	0	servia	2	404	404
servós	4	0	servos	4	3	3
sigués	4	8	sigues	2	275	283
silvà	4	6	silva	4	444	450
silví	4	0	silvi	4	5	5
solà	4	18	sola	0	5893	5911
soló	4	20	solo	2	800	820
sorà	4	12	sora	4	19	31
suró	4	0	suro	2	101	101
surós	4	0	suros	4	5	5
sèrvia	4	6	servia	2	404	410
sònia	4	13	sonia	4	84	97
talló	4	1	tallo	2	21	22
taló	4	146	talo	2	2	148
