diacritic_pos	diacritic_freq	no_diacritic_pos	no_diacritic_freq	total_freq	cnt	detected
4	1	2	0	1	222	1
4	17	4	10498	10515	223	1
4	1	4	0	1	224	0
4	6	2	9	15	225	1
4	0	2	1	1	226	2
4	14	2	0	14	227	0
4	0	4	21	21	228	2
4	0	2	0	0	229	2
4	17	2	0	17	230	0
4	4	4	0	4	231	0
4	121	4	8807	8928	232	0
4	0	4	151	151	233	2
4	70	2	0	70	234	0
4	0	4	1	1	235	2
4	3	4	25	28	236	0
4	0	4	0	0	237	2
4	0	2	9	9	238	2
4	168	2	23	191	239	0
4	0	4	265	265	240	2
4	0	2	0	0	241	2
4	1	2	130	131	242	1
4	1	2	1	2	243	1
4	0	2	99	99	244	2
4	0	4	2539	2539	245	2
4	62	2	12	74	246	0
4	0	4	24	24	247	2
4	2	2	9	11	248	0
4	3	2	11	14	249	0
4	1	0	78	79	250	0
4	4	4	44	48	251	1
4	2	2	20	22	252	0
4	1	2	31	32	253	1
4	1	4	20	21	254	0
4	1	0	64	65	255	0
4	0	4	824	824	256	2
4	0	4	305	305	257	2
4	0	2	4	4	258	2
4	13	4	0	13	259	0
4	0	4	0	0	260	2
4	9	4	49	58	261	0
4	426	4	1721	2147	262	0
4	1	4	0	1	263	0
4	7	2	1	8	264	1
4	0	2	135	135	265	2
4	26	2	11	37	266	0
4	0	4	17	17	267	2
4	0	2	0	0	268	2
4	147	4	290	437	269	1
4	2	4	0	2	270	1
4	0	4	0	0	271	2
4	15	2	8	23	272	0
4	0	2	2	2	273	2
4	7	4	56	63	274	0
4	50	4	37	87	275	0
4	0	2	1	1	276	2
4	26	4	361	387	277	0
4	5	4	101	106	278	1
4	446	2	173	619	279	0
4	40	2	0	40	280	0
4	0	4	4	4	281	2
4	0	2	0	0	282	2
4	24	2	18	42	283	0
4	0	2	0	0	284	2
4	0	4	0	0	285	2
4	0	0	214	214	286	2
4	726	2	18	744	287	0
4	33338	2	101	33439	288	0
4	0	4	0	0	289	2
4	0	2	0	0	290	2
4	0	4	2	2	291	2
4	0	2	91	91	292	2
4	24	4	0	24	293	1
4	0	2	2	2	294	2
4	0	2	0	0	295	2
4	0	2	0	0	296	2
4	0	4	0	0	297	2
4	0	2	0	0	298	2
4	0	4	8	8	299	2
4	1	4	5	6	300	0
4	0	4	0	0	301	2
4	1	2	2	3	302	1
4	0	4	3	3	303	2
4	3	4	0	3	304	0
4	1	4	3	4	305	1
4	1	4	8	9	306	1
4	3	4	1	4	307	1
4	0	4	378	378	308	2
4	0	4	416	416	309	2
4	0	4	28	28	310	2
4	2	2	24	26	311	1
4	8	4	12	20	312	1
4	0	2	0	0	313	2
4	4	2	1	5	314	0
4	15	4	17	32	315	1
4	2	4	0	2	316	0
4	24	2	0	24	317	1
4	0	2	26	26	318	2
4	7	4	12212	12219	319	1
4	88	4	16	104	320	1
4	4	2	0	4	321	0
4	212	4	1013	1225	322	1
4	3	2	126	129	323	1
4	2	2	1	3	324	0
4	0	4	18	18	325	2
4	0	0	23	23	326	2
4	0	4	2	2	327	2
4	0	4	54	54	328	2
4	7	4	26	33	329	0
4	0	2	0	0	330	2
4	0	0	0	0	331	2
4	0	4	0	0	332	2
4	0	4	0	0	333	2
4	0	4	0	0	334	2
4	0	4	9	9	335	2
4	4	4	1	5	336	0
4	88	2	19	107	337	0
4	1	2	0	1	338	1
4	0	2	0	0	339	2
4	4	4	273	277	340	1
4	5	2	9	14	341	1
4	0	2	1	1	342	2
4	4	4	1	5	343	0
4	8	4	28	36	344	1
4	9	2	5	14	345	0
4	0	2	5	5	346	2
4	0	0	0	0	347	2
4	2	4	19	21	348	0
4	72	2	43	115	349	0
4	2	2	622	624	350	0
4	0	2	0	0	351	2
4	36	4	3250	3286	352	0
4	445	4	2402	2847	353	1
4	43	4	2402	2445	354	0
4	1088	2	12	1100	355	1
4	0	0	0	0	356	2
4	20	4	1063	1083	357	1
4	12	2	1	13	358	1
4	3	4	0	3	359	1
4	4	2	109	113	360	0
4	0	2	26	26	361	2
4	366	4	309	675	362	0
4	6	4	12	18	363	0
4	56	4	20	76	364	1
4	281	4	9	290	365	0
4	19	4	261	280	366	0
4	0	4	296	296	367	2
4	1059	4	25	1084	368	0
4	181	2	274	455	369	0
4	14161	0	1864	16025	370	0
4	3	4	0	3	371	0
4	2	4	97	99	372	0
4	0	4	25	25	373	2
4	444	2	5	449	374	0
4	0	4	1	1	375	2
4	1	4	1	2	376	1
4	3	0	0	3	377	0
4	0	4	21	21	378	2
4	4	2	1042	1046	379	0
4	0	4	78	78	380	2
4	0	4	3654	3654	381	2
4	12	2	4	16	382	1
4	178	2	9	187	383	0
4	11	2	43	54	384	0
4	0	2	0	0	385	2
4	153	2	698	851	386	0
4	25	4	85	110	387	1
4	0	4	0	0	388	2
4	26	4	146	172	389	1
4	1	2	2	3	390	0
4	0	4	1	1	391	2
4	0	4	7	7	392	2
4	126	4	45	171	393	1
4	2	4	58	60	394	1
4	1	4	0	1	395	1
4	0	4	0	0	396	2
4	8	4	0	8	397	1
4	2	4	0	2	398	0
4	2	4	0	2	399	0
4	567	0	1664	2231	400	0
4	0	4	1	1	401	2
4	21	4	1203	1224	402	0
4	0	2	4	4	403	2
4	3	2	2	5	404	1
4	0	2	1	1	405	2
4	0	4	1	1	406	2
4	0	2	1	1	407	2
4	0	2	10	10	408	2
4	0	4	651	651	409	2
4	28	4	71	99	410	0
4	3	2	4	7	411	0
4	3	2	67	70	412	0
4	0	4	10	10	413	2
4	2632	2	283	2915	414	0
4	165	4	1501	1666	415	0
4	0	2	0	0	416	2
4	34	4	2	36	417	0
4	5	2	0	5	418	0
4	4	2	0	4	419	1
4	1	2	3	4	420	1
4	0	4	44	44	421	2
4	0	2	0	0	422	2
4	2	2	1205	1207	423	0
4	78	2	5577	5655	424	0
4	5866	4	582	6448	425	1
4	0	4	14	14	426	2
4	3	4	851	854	427	0
4	0	4	0	0	428	2
4	0	2	1	1	429	2
4	0	2	6	6	430	2
4	53	4	0	53	431	1
4	0	2	0	0	432	2
4	1220	2	7	1227	433	0
4	0	2	0	0	434	2
4	316	2	61	377	435	0
4	23	2	1	24	436	0
4	0	4	0	0	437	2
4	0	4	86	86	438	2
4	22	2	2	24	439	0
4	0	4	251	251	440	2
4	2	2	63	65	441	1
4	12	4	8	20	442	0
